date,hour,text
2/6/2021,18:00:00,"174 organizations and businesses urge Biden to cancel IMMIGRANT BAN! https://t.co/5a3isYNdL2

@cnnbrk @cnnbrk @CNN… https://t.co/S07zKvxip6"
2/6/2021,18:00:00,Sign the card now to let President Joe Biden and Vice President Kamala Harris know #BreastCancer is a priority for… https://t.co/do7QdFejuL
2/6/2021,18:00:01,"@mtgreenee @JoeBiden Ukraine receiving aid had prereqs that had to be met, part of the Obama admins diplomacy w/ Uk… https://t.co/ag2SistY65"
2/6/2021,18:00:01,President Joe Biden took office last month with a goal of vaccinating 100 million people in the first 100 days of h… https://t.co/TqbRdASuMh
2/6/2021,18:00:01,"Joe Biden’s calls for unity are disingenuous. His 40+ executive orders, actions, and memorandums show he has no int… https://t.co/Zg5P6CZ221"
2/6/2021,18:00:01,"President Joe Biden laid out his case Friday for moving fast to pass $1.9 trillion in coronavirus relief, but even… https://t.co/cZxITjnjwK"
2/6/2021,18:00:01,"Number of COVID-19 deaths in Biden's administration: 57,217

#covid #covidus #biden #joebiden"
2/6/2021,18:00:02,"It is Saturday February 06, 2021, 11:00:02. Joe Biden has not freed the kids in cages."
2/6/2021,18:00:02,"It is Saturday February 06, 2021, 11:00:02. Joe Biden still owes me $2000."
2/6/2021,18:00:02,It is unbelievable the extent they will go to spin the narrative. ⁦@JoeBiden⁩ #Democrats #leftists #liberalmedia… https://t.co/gCBYLdJ5MD
2/6/2021,18:00:03,"Just about a month ago, the U.S. Capitol was besieged by supporters of Donald Trump angered by the then-president's… https://t.co/3BALBXYXyj"
2/6/2021,18:00:03,Overseas troops to stick in Afghanistan after Might cut-off date sparking escalating stress fears – International I… https://t.co/XbChU0C0Ow
2/6/2021,18:00:03,@STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB Very exciting how you don’t realize how no one with any pull ru… https://t.co/YDg89Pj0kR
2/6/2021,18:00:04,"@UN @UNHumanRights @JoeBiden @G7 
In Myanmar , some new are spreading like ""senior staff from (Union Election Commi… https://t.co/MH3UOXLZqA"
2/6/2021,18:00:05,Republican National Committee (RNC) Chairwoman Ronna McDaniel noted the strong left-wing bias President Joe Biden i… https://t.co/mGxKQDO5bw
